2024-11-05 18:58: Experiment log path in: /Users/rdm-nico/VSCode_Projects/GA/Traffic_Prediction_Project/DDGCRN/experiments/MO_D/20241105185833
2024-11-05 18:58: Horizon 01, MAE: 5.5406, RMSE: 17.4888, MAPE: 0.3175
2024-11-05 18:58: Horizon 02, MAE: 5.8002, RMSE: 19.7795, MAPE: 0.3310
2024-11-05 18:58: Horizon 03, MAE: 6.0277, RMSE: 21.3976, MAPE: 0.3440
2024-11-05 18:58: Horizon 04, MAE: 6.1779, RMSE: 22.7449, MAPE: 0.3440
2024-11-05 18:58: Horizon 05, MAE: 6.3231, RMSE: 24.0948, MAPE: 0.3467
2024-11-05 18:58: Horizon 06, MAE: 6.4519, RMSE: 25.1882, MAPE: 0.3532
2024-11-05 18:58: Horizon 07, MAE: 6.5721, RMSE: 26.1993, MAPE: 0.3529
2024-11-05 18:58: Horizon 08, MAE: 6.6712, RMSE: 26.9839, MAPE: 0.3545
2024-11-05 18:58: Horizon 09, MAE: 6.7704, RMSE: 27.6008, MAPE: 0.3551
2024-11-05 18:58: Horizon 10, MAE: 6.8573, RMSE: 28.3224, MAPE: 0.3606
2024-11-05 18:58: Horizon 11, MAE: 6.9592, RMSE: 28.7348, MAPE: 0.3664
2024-11-05 18:58: Horizon 12, MAE: 7.1992, RMSE: 29.3077, MAPE: 0.3759
2024-11-05 18:58: Average Horizon, MAE: 6.4459, RMSE: 25.0839, MAPE: 0.3507
